Voltage(V),Field(G)
-9.0,10089.9
-8.5,9828.4
-8.0,9518.3
-7.5,9164.2
-7.0,8770.9
-6.5,8337.0
-6.0,7860.1
-5.5,7330.4
-5.0,6732.6
-4.5,6083.3
-4.0,5422.4
-3.5,4755.4
-3.0,4084.9
-2.5,3411.6
-2.0,2735.5
-1.5,2057.9
-1.0,1380.02
-0.5,700.97
0.0,21.61
0.5,-658.18
1.0,-1337.53
1.5,-2015.89
2.0,-2693.36
2.5,-3369.4
3.0,-4042.2
3.5,-4713.8
4.0,-5380.1
4.5,-6038.8
5.0,-6681.6
5.5,-7286.2
6.0,-7826.6
6.5,-8310.5
7.0,-8750.0
7.5,-9148.8
8.0,-9508.8
8.5,-9823.6
9.0,-10089.5
9.5,-10322.4
